emp_id,hours_no,rate,att_date,EntryTime,ExitTime,AttdStatus
2,8,1,7/2/2018,9:58,19:09,1
2,8,1,7/3/2018,9:58,18:24,1
2,8,1,7/4/2018,10:25,19:25,1
2,8,1,7/5/2018,10:03,18:46,1
2,8,1,7/7/2018,10:26,18:21,1
2,8,1,7/8/2018,9:56,,1
2,8,1,7/9/2018,9:58,18:59,1
2,8,1,7/10/2018,10:08,19:31,1
2,8,1,7/11/2018,,19:43,1
2,8,1,7/12/2018,10:02,17:59,1
2,8,1,7/14/2018,10:13,,1
2,8,1,7/15/2018,9:59,18:43,1
2,8,1,7/16/2018,9:58,18:39,1
2,8,1,7/17/2018,10:00,14:17,1
2,8,1,7/18/2018,10:01,15:27,1
2,8,1,7/19/2018,,,4
2,8,1,7/21/2018,10:00,21:04,1
2,8,1,7/22/2018,10:04,18:17,1
2,8,1,7/23/2018,9:32,18:43,1
2,8,1,7/24/2018,9:49,,1
2,8,1,7/25/2018,10:14,,1
2,8,1,7/26/2018,9:37,20:11,1
2,8,1,7/28/2018,9:55,17:59,1
2,8,1,7/29/2018,10:16,18:54,1
2,8,1,7/30/2018,10:00,18:02,1
2,8,1,7/31/2018,9:55,18:27,1
6,8,1,7/1/2018,,,4
6,8,1,7/2/2018,9:59,,1
6,8,1,7/3/2018,,,4
6,8,1,7/4/2018,,,4
6,8,1,7/5/2018,,,4
6,8,1,7/7/2018,,,4
6,8,1,7/8/2018,,,4
6,8,1,7/9/2018,,,4
6,8,1,7/10/2018,,20:32,1
6,8,1,7/11/2018,9:37,,1
6,8,1,7/12/2018,,,4
6,8,1,7/14/2018,,,4
6,8,1,7/15/2018,10:03,,1
6,8,1,7/16/2018,10:01,,1
6,8,1,7/17/2018,9:39,,1
6,8,1,7/18/2018,,,4
6,8,1,7/19/2018,,,4
6,8,1,7/21/2018,,,4
6,8,1,7/22/2018,,,4
6,8,1,7/23/2018,9:31,,1
6,8,1,7/24/2018,6:57,,1
6,8,1,7/25/2018,16:20,,1
6,8,1,7/26/2018,,,4
6,8,1,7/28/2018,9:30,,1
6,8,1,7/29/2018,9:42,,1
6,8,1,7/30/2018,9:35,,1
6,8,1,7/31/2018,,,4
8,8,1,7/1/2018,,,4
8,8,1,7/2/2018,,,4
8,8,1,7/3/2018,,,4
8,8,1,7/4/2018,,,4
8,8,1,7/5/2018,,,4
8,8,1,7/7/2018,,,4
8,8,1,7/8/2018,,,4
8,8,1,7/9/2018,,,4
8,8,1,7/10/2018,,,4
8,8,1,7/11/2018,,,4
8,8,1,7/12/2018,,,4
8,8,1,7/14/2018,,,4
8,8,1,7/15/2018,,,4
8,8,1,7/16/2018,,,4
8,8,1,7/17/2018,,,4
8,8,1,7/18/2018,,,4
8,8,1,7/19/2018,,,4
8,8,1,7/21/2018,,,4
8,8,1,7/22/2018,,,4
8,8,1,7/23/2018,,,4
8,8,1,7/24/2018,,,4
8,8,1,7/25/2018,,,4
8,8,1,7/26/2018,,,4
8,8,1,7/28/2018,,19:34,1
8,8,1,7/29/2018,,,4
8,8,1,7/30/2018,,,4
8,8,1,7/31/2018,,,4
9,8,1,7/1/2018,9:27,21:23,1
9,8,1,7/2/2018,9:56,,1
9,8,1,7/3/2018,9:38,19:49,1
9,8,1,7/4/2018,9:36,18:28,1
9,8,1,7/5/2018,9:39,,1
9,8,1,7/7/2018,,,4
9,8,1,7/8/2018,,,4
9,8,1,7/9/2018,,,4
9,8,1,7/10/2018,,,4
9,8,1,7/11/2018,,,4
9,8,1,7/12/2018,,20:05,1
9,8,1,7/14/2018,,,4
9,8,1,7/15/2018,12:52,21:59,1
